id_?B9d81sDDl_UI1_!YmDY6J44C	Aaron_Ling_Johanson	isAffiliatedTo	Hawaii_Republican_Party	after	2014	before	-
id_?B9d81sDDl_UI1_PO6aLHOw0P	Aaron_Ling_Johanson	isAffiliatedTo	Democratic_Party_of_Hawaii	after	2014	before	-
id_ibMnIJZWkR_UI1_EwolfoMSnH	Abbie_Cornett	isAffiliatedTo	Republican_Party_(United_States)	after	2006	before	-
id_ibMnIJZWkR_UI1_pGeqDZ1IRd	Abbie_Cornett	isAffiliatedTo	Democratic_Party_(United_States)	after	2006	before	-
id_aDyZSu5v5f_UI1_H4jhQwvy1z	Abd_al-Karim_al-Jundi	isAffiliatedTo	Ba'ath_Party	after	1952	before	1966
id_089JvESqB0_UI1_3hoD1Ss1xR	Abdolhossein_Teymourtash	isAffiliatedTo	Iran-e-No_Party	after	1927	before	-
id_089JvESqB0_UI1_O9w5!Wlbxy	Abdolhossein_Teymourtash	isAffiliatedTo	Revival_Party	after	1920	before	1927
id_089JvESqB0_UI1_BnKclt0SEI	Abdolhossein_Teymourtash	isAffiliatedTo	Progress_Party_(Iran)	after	1927	before	1932
id_B9!EPxA3XH_UI1_Vb?yOOSDg6	Abdul_Halim_Khaddam	isAffiliatedTo	Arab_Socialist_Ba'ath_Party_–_Syria_Region	after	2006	before	-
id_B9!EPxA3XH_UI1_KVYMl4J0AL	Abdul_Halim_Khaddam	isAffiliatedTo	National_Salvation_Front_in_Syria	after	2006	before	-
id_s1UvIC4FOF_UI1_H4jhQwvy1z	Abdullah_al-Ahmar	isAffiliatedTo	Ba'ath_Party	after	1954	before	1966
id_iLDtCGk3BW_UI1_TR1?a7DfvJ	Abdullah_Gül	isAffiliatedTo	Virtue_Party	after	1997	before	2001
id_iLDtCGk3BW_UI1_9vHzhnELYp	Abdullah_Gül	isAffiliatedTo	Welfare_Party	after	1997	before	-
id_5hax?9IGd6_UI1_EEuEEvFCmz	Abdullah_Tarmugi	isAffiliatedTo	People's_Action_Party	after	1984	before	2011
id_ufdLJWb7gj_UI1_!JZcf8MWCQ	Abdüllatif_Şener	isAffiliatedTo	Turkey_Party	after	2009	before	2012
id_ufdLJWb7gj_UI1_9vHzhnELYp	Abdüllatif_Şener	isAffiliatedTo	Welfare_Party	after	1991	before	1998
id_ufdLJWb7gj_UI1_TR1?a7DfvJ	Abdüllatif_Şener	isAffiliatedTo	Virtue_Party	after	1998	before	2001
id_1IhVTg2W2k_UI1_lBwGU5RCsI	Abdul_Taib_Mahmud	isAffiliatedTo	Parti_Pesaka_Bumiputera_Bersatu	after	1973	before	2014
id_kvIRL3i3T4_UI1_EwolfoMSnH	Abraham_Andrews_Barker	isAffiliatedTo	Republican_Party_(United_States)	after	1860	before	1876
id_kvIRL3i3T4_UI1_JmumxrJwwS	Abraham_Andrews_Barker	isAffiliatedTo	Prohibition_Party	after	1876	before	1898
id_xnL2FBu08p_UI1_xU6dNI25iX	Abu_Ali_Mustafa	isAffiliatedTo	Popular_Front_for_the_Liberation_of_Palestine	after	1967	before	2001
id_xnL2FBu08p_UI1_1YlyqVVpyR	Abu_Ali_Mustafa	isAffiliatedTo	Arab_Nationalist_Movement	after	1955	before	1967
id_anABZsmYe3_UI1_?KLtZRHAAl	Abubakar_Saleh_Michika	isAffiliatedTo	Congress_for_Progressive_Change	after	2009	before	2013
id_anABZsmYe3_UI1_zWxfhynqVk	Abubakar_Saleh_Michika	isAffiliatedTo	Action_Congress_of_Nigeria	after	2006	before	2009
id_gsiiTkczDA_UI1_0NUix9xG4D	Abu_Nasar_Khan_Choudhury	isAffiliatedTo	All_India_Trinamool_Congress	after	2015	before	-
id_wNliuyBa0N_UI1_pGeqDZ1IRd	A._C._Clemons	isAffiliatedTo	Democratic_Party_(United_States)	after	1970	before	-
