id_4WZch5lICY_H?S_uR!ZxdDDp8	Alain_Terrenoire	isLeaderOf	Paneuropean_Union	after	2004	before	-
id_pSxgxVnamR_H?S_7jvhfSFlbM	Alan_Charlesworth	isLeaderOf	No._1_Squadron_RAAF	after	1936	before	-
id_tCqWJOMEqr_H?S_7DTP5Dzeqa	Alan_Rawlinson	isLeaderOf	No._3_Squadron_RAAF	after	1941	before	-
id_5IilgbENE8_H?S_n2Vevg2YuT	Aleksandr_Vasilevsky	isLeaderOf	Soviet_Armed_Forces	after	1946	before	1948
id_s2P41MP8uS_H?S_BUEA7jK85V	Alexander_Smyth	isLeaderOf	Regiment_of_Riflemen_(United_States)	after	1808	before	1812
id_46bYD0jokT_H?S_yLg80tYHO?	Alexander_Walters	isLeaderOf	National_Afro-American_Council	after	1898	before	1902
id_lEcmNrfS5B_H?S_7DTP5Dzeqa	Allan_Walters	isLeaderOf	No._3_Squadron_RAAF	after	1938	before	-
id_lEcmNrfS5B_H?S_7jvhfSFlbM	Allan_Walters	isLeaderOf	No._1_Squadron_RAAF	after	1940	before	-
id_8lqrKyTqVj_H?S_x2uUI5juiE	Andrew_Sinclair_(privy_counsellor)	isLeaderOf	Scanian_Regiment	after	1615	before	1625
id_erLOIkT!vV_H?S_D4oel9l86Z	Angela_Merkel	isLeaderOf	G20	after	2017	before	-
id_92iBxKqL2R_H?S_O6jQNJVzqI	Anthony_R._Suarez	isLeaderOf	Ridgefield,_New_Jersey	after	2019-12-31	before	-
id_P2E5!6BgGa_H?S_w5mmjLrttJ	Arimilli_Radha_Krishna	isLeaderOf	Arjunudupalam	after	2014	before	-
id_Dhp36xpEoc_H?S_tzc8LQTOKT	Avinash_Chander	isLeaderOf	Rurka_Kalan	after	2013	before	-
id_BUpWpWekAh_H?S_3qJtrPW9ka	Aziz_Rabbah	isLeaderOf	Kenitra	after	2009	before	-
id_YlZ0C2o2qy_H?S_nxkEPfb487	Barry_Curtis_(mayor)	isLeaderOf	Manukau_City	after	1989	before	2007
id_kDvxLW6TMD_H?S_NIX!U58z9!	Bernie_Ecclestone	isLeaderOf	Formula_One_Constructors'_Association	after	1978	before	-
id_Wftfc3nQwO_H?S_vtCBjPWDX!	Björn_Bjuggren	isLeaderOf	F_4_Frösön	after	1943	before	1947
id_dHA!7eC6bQ_H?S_5lLFH3cKS5	Blake_Morant	isLeaderOf	Association_of_American_Law_Schools	after	2015-01	before	-
id_kPMj463F72_H?S_7DTP5Dzeqa	Bobby_Gibbes	isLeaderOf	No._3_Squadron_RAAF	after	1942	before	-
id_NISGCVgRXs_H?S_7DTP5Dzeqa	Brian_Eaton	isLeaderOf	No._3_Squadron_RAAF	after	1943	before	-
id_Z0La3ksLeL_H?S_u!BanRqfoO	Brian_P._Stack	isLeaderOf	Union_City,_New_Jersey	after	2018-05-18	before	-
id_1uGU!1Atbh_H?S_Km3y4Fq4rT	Carina_Herrstedt	isLeaderOf	SD_Women	after	2014	before	-
id_vOXPD1ZYx7_H?S_NbjCwaNEax	Charles_E._Capehart	isLeaderOf	1st_West_Virginia_Volunteer_Cavalry_Regiment	after	1864	before	-
id_JGfU52D5mg_H?S_gUWohpywiK	Charles_Vane-Tempest-Stewart,_7th_Marquess_of_Londonderry	isLeaderOf	No._607_Squadron_RAF	after	1932	before	1945
id_wo6nUUGDwY_H?S_Mx5oYfFvNh	Christina,_Queen_of_Sweden	isLeaderOf	Military_of_the_Swedish_Empire	after	1632	before	1654
id_90MStFc?t8_H?S_Vl4oXUgGVK	Claës-Henrik_Nordenskiöld	isLeaderOf	F_10_Ängelholm	after	1960	before	1962
id_KrCb1LbOkE_H?S_eoz!reD?zL	Dana_Redd	isLeaderOf	Camden,_New_Jersey	after	2017-12-31	before	-
id_wcUygwJz3W_H?S_7DTP5Dzeqa	David_Blake_(general)	isLeaderOf	No._3_Squadron_RAAF	after	1916	before	-
id_4ifiTRubgo_H?S_DKYa0cBgOT	David_J._Lane_(ambassador)	isLeaderOf	Permanent_Observer_Mission_of_the_Organization_of_Islamic_Cooperation_to_the_European_Union	after	2012-07-19	before	-
id_JrtWZ83wXu_H?S_FHCbKgh31r	David_Muhoozi	isLeaderOf	Uganda_People's_Defence_Force	after	2017-01	before	-
id_?NPnFIuBCV_H?S_aw9A3?NLKk	David_R._Mayer	isLeaderOf	Gloucester_Township,_New_Jersey	after	2017-12-31	before	-
id_jkin!vqOmr_H?S_49gScdPKbS	Dawn_Zimmer	isLeaderOf	Hoboken,_New_Jersey	after	2017-12-31	before	-
id_ELGNrX!R0O_H?S_3rgYzGl02h	Derek_Armstead	isLeaderOf	Linden,_New_Jersey	after	2018-12-31	before	-
id_!qbiJi60Yk_H?S_f16QZbczAR	Diane_Corcoran	isLeaderOf	International_Association_for_Near-Death_Studies	after	2008	before	-
id_yfVRrMJMkB_H?S_!BOHbZvj?0	Dick_Giordano	isLeaderOf	Academy_of_Comic_Book_Arts	after	1971	before	-
id_FfMnZl?E7y_H?S_??E7CfZTX5	Dick_Stenberg	isLeaderOf	F_18_Tullinge	after	1963	before	1966
